p_f_topo,dev_p_f_topo,t,dev_t,s,dev_s,p_i,dev_p_i,h,dev_h,v,dev_v,a,dev_a,invariant,dev_invariant
0.29,0.001,0.253,0.001,0.02355,5e-05,0.02,0.001,0.28177499999999994,0.002025,2.545454545454546,0.16619834710743805,6.493506493506552,9.205669871254285,-2.819923258559592,6.060254633427373
0.3,0.001,0.256,0.001,0.02355,5e-05,0.02,0.001,0.29177499999999995,0.002025,2.6470588235294117,0.13741349480968856,4.543952412425673,7.276473516881747,-4.355296984953911,4.992072335862666
0.35,0.001,0.279,0.001,0.02355,5e-05,0.02,0.001,0.34177499999999994,0.002025,2.784810126582278,0.1217673449767665,7.71843161469595,4.518289799536196,-2.4792335108897863,3.7979345112691583
0.4,0.001,0.297,0.001,0.02355,5e-05,0.02,0.001,0.391775,0.002025,2.857142857142857,0.11624149659863942,7.853257853257838,3.762032312232111,-2.0098451152022703,3.643783235975961
0.45,0.001,0.312,0.001,0.02355,5e-05,0.02,0.001,0.441775,0.002025,2.8089887640449454,0.10862896098977409,4.306114682849689,5.083232876538604,-4.085750248498908,5.119005234271529
0.5,0.001,0.329,0.001,0.02355,5e-05,0.02,0.001,0.49177499999999996,0.002025,3.0487804878048794,0.12375074360499713,4.148656992899075,5.5114592556410384,-5.214650877453875,6.192175516615504
0.53,0.001,0.337,0.001,0.02355,5e-05,0.02,0.001,0.521775,0.002025,3.2051282051282044,0.13410585141354367,3.855793329477562,5.086372009943593,-6.249133682332035,6.183152367637582
0.55,0.001,0.345,0.001,0.02355,5e-05,0.02,0.001,0.541775,0.002025,3.030303030303034,0.30638200183654773,6.7064929169117775,12.982543898792295,-1.9159160553439918,15.951257355041085
0.6,0.001,0.361,0.001,0.02355,5e-05,0.02,0.001,0.5917749999999999,0.002025,3.1250000000000018,0.32187500000000036,2.3818597560975756,14.074670722412282,-6.946574885670725,18.67944181552325
0.65,0.001,0.375,0.001,0.02355,5e-05,0.02,0.001,0.641775,0.002025,3.157894736842107,0.2727839335180058,-1.2429860075288774,10.773046235437038,-11.567733858938771,15.555623484728896
